,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
151,343,article,1111374,Eduardo Hideki Tanaka and S&#237;lvia Am&#233;lia Bim and Helo&#237;sa Vieira da Rocha,,,,Comparing Accessibility Evaluation and Usability Evaluation in Hag\'{A}Qu\^{E},139--147,,9.0,"accessibility evaluation, computers and education, usability evaluation",10.1145/1111360.1111374,,,,,,,2005.0,,Proceedings of the 2005 Latin American Conference on Human-computer Interaction,CLIHC '05,,1-59593-224-0,"Cuernavaca, Mexico",ACM,"New York, NY, USA",computer science usability education
152,344,article,1631745,Christopher  Connolly and Gabriele  Meiselwitz,,,,Integrating Software Engineering in Computer Programming Education,50--54,,5.0,"computer science curriculum, information science curriculum, software engineering",10.1145/1631728.1631745,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
155,350,article,2325373,Barry  Fagin and Dino  Schweitzer,,,,MyTuringTable: A Teaching Tool to Accompany Turing's Original Paper on Computability,333--338,,6.0,"computer science education, educational software, history of computing, turing machines",10.1145/2325296.2325373,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computer science usability education
156,352,article,1562956,Timothy  Huang and Amy  Briggs,,,,A Unified Approach to Introductory Computer Science: Can One Size Fit All?,253--257,,5.0,"computer science education, introductory computer science, unified CS0/CS1",10.1145/1562877.1562956,,,,,,,2009.0,,Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '09,,978-1-60558-381-5,"Paris, France",ACM,"New York, NY, USA",computer science usability education
157,353,article,1562956,Timothy  Huang and Amy  Briggs,,,,A Unified Approach to Introductory Computer Science: Can One Size Fit All?,253--257,,5.0,"computer science education, introductory computer science, unified CS0/CS1",10.1145/1595496.1562956,SIGCSE Bull.,September 2009,41,3,,July,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
162,365,article,2674691,Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Experiences in Course Design Using Neo-piagetian Theory,81--90,,10.0,"computer science education, course design, neo-piaget",10.1145/2674683.2674691,,,,,,,2014.0,,Proceedings of the 14th Koli Calling International Conference on Computing Education Research,Koli Calling '14,,978-1-4503-3065-7,"Koli, Finland",ACM,"New York, NY, USA",computer science usability education
164,369,article,1047445,Richard  Wicentowski and Tia  Newhall,,,,Using Image Processing Projects to Teach CS1 Topics,287--291,,5.0,"CS1, computer science education, image processing projects",10.1145/1047124.1047445,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
165,370,article,1047445,Richard  Wicentowski and Tia  Newhall,,,,Using Image Processing Projects to Teach CS1 Topics,287--291,,5.0,"CS1, computer science education, image processing projects",10.1145/1047344.1047445,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
166,374,article,1734325,Rafael  del Vado V&#237;rseda,,,,A Visualization Tool for Tutoring the Interactive Learning of Data Structures and Algorithmic Schemes.,187--191,,5.0,"algorithmic schemes, computer science education, data structures",10.1145/1734263.1734325,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computer science usability education
168,376,article,809941,Allan R. Moore and Richard S. Kopp,,,,Educational Experiences in Industrial Software Engineering,118--122,,5.0,"Computer science, Industrial education, Software engineering",10.1145/800176.809941,,,,,,,1980.0,,Proceedings of the ACM 1980 Annual Conference,ACM '80,,0-89791-028-1,,ACM,"New York, NY, USA",computer science usability education
171,381,article,1595485,Sujata  Garera and Jorge  Vasconcelos,,,,Challenges in Teaching a Graduate Course in Applied Cryptography,103--107,,5.0,"computer science education, cryptography, security protocols",10.1145/1595453.1595485,SIGCSE Bull.,June 2009,41,2,,June,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
172,382,article,1862725,Katrina  Falkner and David S. Munro,,,,Easing the Transition: A Collaborative Learning Approach,65--74,,10.0,"CS1, collaborative learning, computer science education, transition",,,,,,,,2009.0,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science usability education
177,389,article,1562955,Ananya  Misra and Douglas  Blank and Deepak  Kumar,,,,A Music Context for Teaching Introductory Computing,248--252,,5.0,"CS1, computer science, education, music, pedagogy, python",10.1145/1595496.1562955,SIGCSE Bull.,September 2009,41,3,,July,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
178,390,article,1562955,Ananya  Misra and Douglas  Blank and Deepak  Kumar,,,,A Music Context for Teaching Introductory Computing,248--252,,5.0,"CS1, computer science, education, music, pedagogy, python",10.1145/1562877.1562955,,,,,,,2009.0,,Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '09,,978-1-60558-381-5,"Paris, France",ACM,"New York, NY, USA",computer science usability education
182,399,article,1121366,Thomas J. Cortina and Richard  McKenna,,,,The Design of a History of Computing Course with a Unique Perspective,67--71,,5.0,"computer science education, history of computing",10.1145/1121341.1121366,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
183,400,article,1121366,Thomas J. Cortina and Richard  McKenna,,,,The Design of a History of Computing Course with a Unique Perspective,67--71,,5.0,"computer science education, history of computing",10.1145/1124706.1121366,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
190,412,article,2983524,Antti  Knutas and Antti  Herala and Erno  Vanhala and Jouni  Ikonen,,,,The Flipped Classroom Method: Lessons Learned from Flipping Two Programming Courses,423--430,,8.0,"Flipped classroom, computer science education, computer-supported education, programming",10.1145/2983468.2983524,,,,,,,2016.0,,Proceedings of the 17th International Conference on Computer Systems and Technologies 2016,CompSysTech '16,,978-1-4503-4182-0,"Palermo, Italy",ACM,"New York, NY, USA",computer science usability education
191,415,article,3091511,Elisabeth  Coskun and Su  White,,,,Web Science: Mapping the Curriculum,241--245,,5.0,"education, web science, web science curriculum",10.1145/3091478.3091511,,,,,,,2017.0,,Proceedings of the 2017 ACM on Web Science Conference,WebSci '17,,978-1-4503-4896-6,"Troy, New York, USA",ACM,"New York, NY, USA",computer science usability education
193,421,article,2677288,Diana  Franklin and Charlotte  Hill and Hilary  Dwyer and Ashley  Iveland and Alexandria  Killian and Danielle  Harlow,,,,Getting Started in Teaching and Researching Computer Science in the Elementary Classroom,552--557,,6.0,"computer science education, curriculum, k-12, outreach",10.1145/2676723.2677288,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
194,423,article,2591715,Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner,,,,Identifying Computer Science Self-regulated Learning Strategies,291--296,,6.0,"computer science education, self-regulation strategies",10.1145/2591708.2591715,,,,,,,2014.0,,Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education,ITiCSE '14,,978-1-4503-2833-3,"Uppsala, Sweden",ACM,"New York, NY, USA",computer science usability education
199,435,article,1121447,Eric  Roberts,,,,An Interactive Tutorial System for Java,334--338,,5.0,"CS1, Java, computer science education, teaching libraries",10.1145/1124706.1121447,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
200,436,article,1121447,Eric  Roberts,,,,An Interactive Tutorial System for Java,334--338,,5.0,"CS1, Java, computer science education, teaching libraries",10.1145/1121341.1121447,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
201,440,article,507592,Barry S. Fagin and Laurence D. Merkle and Thomas W. Eggers,,,,Teaching Computer Science with Robotics Using Ada/Mindstorms 2.0,73--78,,6.0,"Computer science education, Lego Mindstorms, Robotics",10.1145/507546.507592,Ada Lett.,December 2001,XXI,4,,September,2001.0,1094-3641,,,,,,ACM,"New York, NY, USA",computer science usability education
202,441,article,507592,Barry S. Fagin and Laurence D. Merkle and Thomas W. Eggers,,,,Teaching Computer Science with Robotics Using Ada/Mindstorms 2.0,73--78,,6.0,"Computer science education, Lego Mindstorms, Robotics",10.1145/507574.507592,,,,,,,2001.0,,Proceedings of the 2001 Annual ACM SIGAda International Conference on Ada,SIGAda '01,,1-58113-392-8,"Bloomington, MN",ACM,"New York, NY, USA",computer science usability education
206,446,article,1509051,Lijun  Ni,,,,What Makes CS Teachers Change?: Factors Influencing CS Teachers' Adoption of Curriculum Innovations,544--548,,5.0,"adoption factors, computer science education, cs teacher",10.1145/1539024.1509051,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
207,447,article,1509051,Lijun  Ni,,,,What Makes CS Teachers Change?: Factors Influencing CS Teachers' Adoption of Curriculum Innovations,544--548,,5.0,"adoption factors, computer science education, cs teacher",10.1145/1508865.1509051,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
213,455,article,1121477,Casey  Alt and Owen  Astrachan and Jeffrey  Forbes and Richard  Lucic and Susan  Rodger,,,,Social Networks Generate Interest in Computer Science,438--442,,5.0,"computer science education, programming, social networks",10.1145/1124706.1121477,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
214,456,article,1121477,Casey  Alt and Owen  Astrachan and Jeffrey  Forbes and Richard  Lucic and Susan  Rodger,,,,Social Networks Generate Interest in Computer Science,438--442,,5.0,"computer science education, programming, social networks",10.1145/1121341.1121477,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
215,461,article,2107568,Rana  Al-Hajri and Salah  Al-Sharhan and Ahmed  Al-Hunaiyyan and Tareq  Alothman,,,,Design of Educational Multimedia Interfaces: Individual Differences of Learners,12:1--12:5,12.0,5.0,"HCI, e-learning, educational multimedia and hypermedia, interface design, usability",10.1145/2107556.2107568,,,,,,,2011.0,,Proceedings of the Second Kuwait Conference on e-Services and e-Systems,KCESS '11,,978-1-4503-0793-2,"Kuwait City, Kuwait",ACM,"New York, NY, USA",computer science usability education
216,463,article,1121376,John  DeHart and Fred  Kuhns and Jyoti  Parwatikar and Jonathan  Turner and Charlie  Wiseman and Ken  Wong,,,,The Open Network Laboratory,107--111,,5.0,"education, experimental computer science, real-time displays",10.1145/1121341.1121376,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
217,464,article,1121376,John  DeHart and Fred  Kuhns and Jyoti  Parwatikar and Jonathan  Turner and Charlie  Wiseman and Ken  Wong,,,,The Open Network Laboratory,107--111,,5.0,"education, experimental computer science, real-time displays",10.1145/1124706.1121376,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
219,468,article,1463680,Yolanda  Rankin and Amy  Gooch and Bruce  Gooch,,,,The Impact of Game Design on Students' Interest in CS,31--35,,5.0,"computer science education, game design, software engineering",10.1145/1463673.1463680,,,,,,,2008.0,,Proceedings of the 3rd International Conference on Game Development in Computer Science Education,GDCSE '08,,978-1-60558-057-9,"Miami, Florida",ACM,"New York, NY, USA",computer science usability education
220,470,article,1562963,Judith  Gal-Ezer and Daphna  Shahak and Ela  Zur,,,,Computer Science Issues in High School: Gender and More....,278--282,,5.0,"computer science, education, gender, high school",10.1145/1595496.1562963,SIGCSE Bull.,September 2009,41,3,,July,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
221,471,article,1562963,Judith  Gal-Ezer and Daphna  Shahak and Ela  Zur,,,,Computer Science Issues in High School: Gender and More....,278--282,,5.0,"computer science, education, gender, high school",10.1145/1562877.1562963,,,,,,,2009.0,,Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '09,,978-1-60558-381-5,"Paris, France",ACM,"New York, NY, USA",computer science usability education
222,474,article,1509029,Jesse M. Heines and Gena R. Greher and Sarah  Kuhn,,,,Music Performamatics: Interdisciplinary Interaction,478--482,,5.0,"computer science education, interdisciplinary programs, performamatics",10.1145/1508865.1509029,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
223,475,article,1509029,Jesse M. Heines and Gena R. Greher and Sarah  Kuhn,,,,Music Performamatics: Interdisciplinary Interaction,478--482,,5.0,"computer science education, interdisciplinary programs, performamatics",10.1145/1539024.1509029,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
224,476,article,961563,Lisa  Meeden and Tia  Newhall and Doug  Blank and Deepak  Kumar,,,,Using Departmental Surveys to Assess Computing Culture: Quantifying Gender Differences in the Classroom,188--192,,5.0,"classroom culture, computer science education, gender issues",10.1145/961511.961563,,,,,,,2003.0,,Proceedings of the 8th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '03,,1-58113-672-2,"Thessaloniki, Greece",ACM,"New York, NY, USA",computer science usability education
225,477,article,961563,Lisa  Meeden and Tia  Newhall and Doug  Blank and Deepak  Kumar,,,,Using Departmental Surveys to Assess Computing Culture: Quantifying Gender Differences in the Classroom,188--192,,5.0,"classroom culture, computer science education, gender issues",10.1145/961290.961563,SIGCSE Bull.,September 2003,35,3,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
231,486,article,2742613,Hamid  Tarmazdi and Rebecca  Vivian and Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Using Learning Analytics to Visualise Computer Science Teamwork,165--170,,6.0,"collaboration, computer science education, learning analytics",10.1145/2729094.2742613,,,,,,,2015.0,,Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '15,,978-1-4503-3440-2,"Vilnius, Lithuania",ACM,"New York, NY, USA",computer science usability education
232,487,article,1384346,Matt  Bower,,,,A Taxonomy of Task Types in Computing,281--285,,5.0,"computer science education, pedagogy, task types, taxonomy",10.1145/1384271.1384346,,,,,,,2008.0,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA",computer science usability education
233,488,article,1384346,Matt  Bower,,,,A Taxonomy of Task Types in Computing,281--285,,5.0,"computer science education, pedagogy, task types, taxonomy",10.1145/1597849.1384346,SIGCSE Bull.,September 2008,40,3,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
236,493,article,961553,Arnold N. Pears and Mats  Daniels,,,,Structuring CSed Research Studies: Connecting the Pieces,149--153,,5.0,"applied pedagogy, computer science",10.1145/961290.961553,SIGCSE Bull.,September 2003,35,3,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
237,494,article,961553,Arnold N. Pears and Mats  Daniels,,,,Structuring CSed Research Studies: Connecting the Pieces,149--153,,5.0,"applied pedagogy, computer science",10.1145/961511.961553,,,,,,,2003.0,,Proceedings of the 8th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '03,,1-58113-672-2,"Thessaloniki, Greece",ACM,"New York, NY, USA",computer science usability education
239,497,article,352492,Taras  Vintsiuk,,,,Pattern Computer (Abstract Only),5--14,,10.0,"computer science, pattern computer",10.1145/352491.352492,,,,,,,2000.0,,Proceedings of the Symposium on Contemporary Computing in Ukraine,CCU '00,,1-58113-310-3,"Lviv, Ukraine",ACM,"New York, NY, USA",computer science usability education
240,499,article,2501610,Cristian  Bravo-Lillo and Saranga  Komanduri and Lorrie Faith Cranor and Robert W. Reeder and Manya  Sleeper and Julie  Downs and Stuart  Schechter,,,,Your Attention Please: Designing Security-decision UIs to Make Genuine Risks Harder to Ignore,6:1--6:12,6.0,12.0,"attractors, dialogs, habituation, methodologies, usable security, warnings",10.1145/2501604.2501610,,,,,,,2013.0,,Proceedings of the Ninth Symposium on Usable Privacy and Security,SOUPS '13,,978-1-4503-2319-2,"Newcastle, United Kingdom",ACM,"New York, NY, USA",computer science usability education
244,511,article,1268848,Mary Anne L. Egan,,,,Teaching a Women in Computer Science Course,216--220,,5.0,"computer science education, gender disparity, women",10.1145/1269900.1268848,SIGCSE Bull.,September 2007,39,3,,June,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
245,512,article,1268848,Mary Anne L. Egan,,,,Teaching a Women in Computer Science Course,216--220,,5.0,"computer science education, gender disparity, women",10.1145/1268784.1268848,,,,,,,2007.0,,Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '07,,978-1-59593-610-3,"Dundee, Scotland",ACM,"New York, NY, USA",computer science usability education
250,524,article,3106171,Holger  Danielsiek and Laura  Toma and Jan  Vahrenhold,,,,An Instrument to Assess Self-Efficacy in Introductory Algorithms Courses,217--225,,9.0,"algorithms, computer science education, self-efficacy",10.1145/3105726.3106171,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on International Computing Education Research,ICER '17,,978-1-4503-4968-0,"Tacoma, Washington, USA",ACM,"New York, NY, USA",computer science usability education
258,537,article,1384345,Noa  Ragonis and Orit  Hazzan,,,,Tutoring Model for Promoting Teaching Skills of Computer Science Prospective Teachers,276--280,,5.0,"computer science education, computer science teacher preparation., problem solving, prospective computer science teachers, training, tutoring in computer science",10.1145/1597849.1384345,SIGCSE Bull.,September 2008,40,3,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
259,538,article,1384345,Noa  Ragonis and Orit  Hazzan,,,,Tutoring Model for Promoting Teaching Skills of Computer Science Prospective Teachers,276--280,,5.0,"computer science education, computer science teacher preparation., problem solving, prospective computer science teachers, training, tutoring in computer science",10.1145/1384271.1384345,,,,,,,2008.0,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA",computer science usability education
262,546,article,1858454,Charles  Peck,,,,LittleFe: Parallel and Distributed Computing Education on the Move,16--22,,7.0,"computational science education, computer science education, outreach, portable cluster, undergraduate curriculum",,J. Comput. Sci. Coll.,October 2010,26,1,,October,2010.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science usability education
263,547,article,159593,Mitchel  Resnick,,,,Behavior Construction Kits,64--71,,8.0,education,10.1145/159544.159593,Commun. ACM,July 1993,36,7,,July,1993.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science usability education
268,560,article,1227439,Darren  Lim,,,,Taking Students out for a Ride: Using a Board Game to Teach Graph Theory,367--371,,5.0,"computer science education, games, graph theory",10.1145/1227504.1227439,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
269,561,article,1227439,Darren  Lim,,,,Taking Students out for a Ride: Using a Board Game to Teach Graph Theory,367--371,,5.0,"computer science education, games, graph theory",10.1145/1227310.1227439,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
271,563,article,1566499,Jennifer  Parham and Donald  Chinn and D. E. Stevenson,,,,Using Bloom's Taxonomy to Code Verbal Protocols of Students Solving a Data Structure Problem,39:1--39:6,39.0,6.0,"Bloom's taxonomy, computer science education, problem solving",10.1145/1566445.1566499,,,,,,,2009.0,,Proceedings of the 47th Annual Southeast Regional Conference,ACM-SE 47,,978-1-60558-421-8,"Clemson, South Carolina",ACM,"New York, NY, USA",computer science usability education
275,579,article,3003764,Christina  Katsini and Marios  Belk and Christos  Fidas and Nikolaos  Avouris and George  Samaras,,,,Security and Usability in Knowledge-based User Authentication: A Review,63:1--63:6,63.0,6.0,"Knowledge-based Authentication, Security Metrics, Usability Metrics, Usable Security",10.1145/3003733.3003764,,,,,,,2016.0,,Proceedings of the 20th Pan-Hellenic Conference on Informatics,PCI '16,,978-1-4503-4789-1,"Patras, Greece",ACM,"New York, NY, USA",computer science usability education
277,581,article,2656475,Alan  Fedoruk and Mingwei  Gong and Michael  McCarthy,,,,Student Initiated Capstone Projects,65--70,,6.0,"Capstone experience, computer science education, information technology education",10.1145/2656450.2656475,,,,,,,2014.0,,Proceedings of the 15th Annual Conference on Information Technology Education,SIGITE '14,,978-1-4503-2686-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science usability education
280,588,article,1029567,Katherine E. Thompson and Evelyn P. Rozanski and Anne R. Haake,,,,"Here, There, Anywhere: Remote Usability Testing That Works",132--137,,6.0,"human-computer interaction, remote usability testing, usability testing",10.1145/1029533.1029567,,,,,,,2004.0,,Proceedings of the 5th Conference on Information Technology Education,CITC5 '04,,1-58113-936-5,"Salt Lake City, UT, USA",ACM,"New York, NY, USA",computer science usability education
286,603,article,988484,  Computer Graphics staff,,,,"Reviews, Abstracts, Films, Books, etc.",83--87,,5.0,,10.1145/988476.988484,SIGGRAPH Comput. Graph.,Spring 1974,8,1,,April,1974.0,0097-8930,,,,,,ACM,"New York, NY, USA",computer science usability education
287,610,article,3103037,Hanna  M&#228;enp&#228;&#228; and Samu  Varjonen and Arto  Hellas and Sasu  Tarkoma and Tomi  M&#228;nnist&#246;,,,,Assessing IOT Projects in University Education: A Framework for Problem-based Learning,37--46,,10.0,"assessment, computer science education, internet of things, software engineering education",10.1109/ICSE-SEET.2017.6,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",computer science usability education
289,612,article,1328280,Emerson  Murphy-Hill and Andrew P. Black,,,,High Velocity Refactorings in Eclipse,1--5,,5.0,"environments, refactoring, tools, usability",10.1145/1328279.1328280,,,,,,,2007.0,,Proceedings of the 2007 OOPSLA Workshop on Eclipse Technology eXchange,eclipse '07,,978-1-60558-015-9,"Montreal, Quebec, Canada",ACM,"New York, NY, USA",computer science usability education
290,614,article,1352233,Orit  Hazzan and Judith  Gal-Ezer and Lenore  Blum,,,,A Model for High School Computer Science Education: The Four Key Elements That Make It!,281--285,,5.0,"computer science education, computer science education research, curriculum, teacher preparation programs, teaching certificate",10.1145/1352135.1352233,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
291,615,article,1352233,Orit  Hazzan and Judith  Gal-Ezer and Lenore  Blum,,,,A Model for High School Computer Science Education: The Four Key Elements That Make It!,281--285,,5.0,"computer science education, computer science education research, curriculum, teacher preparation programs, teaching certificate",10.1145/1352322.1352233,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
293,618,article,2336736,Deborah  Richards and Iwan  Kelaiah,,,,Usability Attributes in Virtual Learning Environments,9:1--9:10,9.0,10.0,"education, usability attributes, virtual worlds",10.1145/2336727.2336736,,,,,,,2012.0,,Proceedings of The 8th Australasian Conference on Interactive Entertainment: Playing the System,IE '12,,978-1-4503-1410-7,"Auckland, New Zealand",ACM,"New York, NY, USA",computer science usability education
294,621,article,1121470,Pauli  Byckling and Jorma  Sajaniemi,,,,Roles of Variables and Programming Skills Improvement,413--417,,5.0,"computer science education, roles of variables",10.1145/1121341.1121470,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
295,622,article,1121470,Pauli  Byckling and Jorma  Sajaniemi,,,,Roles of Variables and Programming Skills Improvement,413--417,,5.0,"computer science education, roles of variables",10.1145/1124706.1121470,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
296,623,article,1562953,Nicole  Anderson and Chi-Cheng  Lin,,,,Exploring Technologies for Building Collaborative Learning Communities Among Diverse Student Populations,243--247,,5.0,"collaborative learning communities, computer science education",10.1145/1595496.1562953,SIGCSE Bull.,September 2009,41,3,,July,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
297,624,article,1562953,Nicole  Anderson and Chi-Cheng  Lin,,,,Exploring Technologies for Building Collaborative Learning Communities Among Diverse Student Populations,243--247,,5.0,"collaborative learning communities, computer science education",10.1145/1562877.1562953,,,,,,,2009.0,,Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '09,,978-1-60558-381-5,"Paris, France",ACM,"New York, NY, USA",computer science usability education
300,629,article,971343,Eric  Roberts,,,,The Dream of a Common Language: The Search for Simplicity and Stability in Computer Science Education,115--119,,5.0,"CS1, Java, computer science education, teaching libraries",10.1145/971300.971343,,,,,,,2004.0,,Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '04,,1-58113-798-2,"Norfolk, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
301,630,article,971343,Eric  Roberts,,,,The Dream of a Common Language: The Search for Simplicity and Stability in Computer Science Education,115--119,,5.0,"CS1, Java, computer science education, teaching libraries",10.1145/1028174.971343,SIGCSE Bull.,March 2004,36,1,,March,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
305,638,article,1140196,Jacob  Perrenet and Eric  Kaasenbrood,,,,Levels of Abstraction in Students' Understanding of the Concept of Algorithm: The Qualitative Perspective,270--274,,5.0,"abstraction, computer science education, research methods",10.1145/1140123.1140196,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
306,639,article,1140196,Jacob  Perrenet and Eric  Kaasenbrood,,,,Levels of Abstraction in Students' Understanding of the Concept of Algorithm: The Qualitative Perspective,270--274,,5.0,"abstraction, computer science education, research methods",10.1145/1140124.1140196,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computer science usability education
310,646,article,2677296,Samantha  Krieger and Meghan  Allen and Catherine  Rawn,,,,Are Females Disinclined to Tinker in Computer Science?,102--107,,6.0,"computer science education, gender, programming, tinkering",10.1145/2676723.2677296,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
