,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
106,223,article,1557648,Volker  Paelke and Karsten  Nebe,,,,Integrating Usability Engineering and Software Engineering in Mixed Reality System Development,137--141,,5.0,"development processes, mixed reality, software engineering, usability engineering",10.1145/1557626.1557648,,,,,,,2009.0,,Proceedings of the 2Nd Canadian Conference on Computer Science and Software Engineering,C3S2E '09,,978-1-60558-401-0,"Montreal, Quebec, Canada",ACM,"New York, NY, USA",software engineering usability education
117,246,article,1134387,Mario  Bernhart and Thomas  Grechenig and Jennifer  Hetzl and Wolfgang  Zuser,,,,Dimensions of Software Engineering Course Design,667--672,,6.0,"course design, course design evaluation, course design framework, outcome case studies, software engineering education",10.1145/1134285.1134387,,,,,,,2006.0,,Proceedings of the 28th International Conference on Software Engineering,ICSE '06,,1-59593-375-1,"Shanghai, China",ACM,"New York, NY, USA",software engineering usability education
126,261,article,2667083,Holger  R&#246;der,,,,Specifying Usability Features with Patterns and Templates,6--11,,6.0,"software requirements specification, usability, usability features, usability patterns, use cases",,,,,,,,2012.0,,Proceedings of the First International Workshop on Usability and Accessibility Focused Requirements Engineering,UsARE '12,,978-1-4673-1846-4,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA",software engineering usability education
127,262,article,944911,Tien N. Nguyen and Ethan V. Munson,,,,The Software Concordance: A New Software Document Management Environment,198--205,,8.0,"documentation, hypermedia, software engineering",10.1145/944868.944911,,,,,,,2003.0,,Proceedings of the 21st Annual International Conference on Documentation,SIGDOC '03,,1-58113-696-X,"San Francisco, CA, USA",ACM,"New York, NY, USA",software engineering usability education
130,267,article,2362542,Andreas  Pleuss and Benedikt  Hauptmann and Markus  Keunecke and Goetz  Botterweck,,,,A Case Study on Variability in User Interfaces,6--10,,5.0,"software product lines, user interface engineering",10.1145/2362536.2362542,,,,,,,2012.0,,Proceedings of the 16th International Software Product Line Conference - Volume 1,SPLC '12,,978-1-4503-1094-9,"Salvador, Brazil",ACM,"New York, NY, USA",software engineering usability education
131,270,article,948513,M.  Lusini and E.  Vicario,,,,Engineering the Usability of Visual Formalisms: A Case Study in Real Time Logics,114--123,,10.0,"computer aided verification, real time logics, usability engineering, visual formalisms",10.1145/948496.948513,,,,,,,1998.0,,Proceedings of the Working Conference on Advanced Visual Interfaces,AVI '98,,,"L'Aquila, Italy",ACM,"New York, NY, USA",software engineering usability education
142,289,article,227842,Richard B. Kieburtz and Laura  McKinney and Jeffrey M. Bell and James  Hook and Alex  Kotov and Jeffrey  Lewis and Dino P. Oliva and Tim  Sheard and Ira  Smith and Lisa  Walton,,,,A Software Engineering Experiment in Software Component Generation,542--552,,11.0,"flexibility, productivity, reliability, software component generation, usability",,,,,,,,1996.0,,Proceedings of the 18th International Conference on Software Engineering,ICSE '96,,0-8186-7246-3,"Berlin, Germany",IEEE Computer Society,"Washington, DC, USA",software engineering usability education
152,304,article,3053345,Agnes  Lisowska Masson and Timon  Amstutz and Denis  Lalanne,,,,A Usability Refactoring Process for Large-Scale Open Source Projects: The ILIAS Case Study,1135--1143,,9.0,"learning management systems, open source communities, open source software, usability",10.1145/3027063.3053345,,,,,,,2017.0,,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '17,,978-1-4503-4656-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",software engineering usability education
155,309,article,2729973,Jooyong  Yi and Dawei  Qi and Shin Hwei Tan and Abhik  Roychoudhury,,,,Software Change Contracts,18:1--18:43,18.0,43.0,"Software changes, dynamic checking, static checking",10.1145/2729973,ACM Trans. Softw. Eng. Methodol.,May 2015,24,3.0,,May,2015.0,1049-331X,,,,,,ACM,"New York, NY, USA",software engineering usability education
156,310,article,2723757,Kirti  Garg and Vasudeva  Varma,,,,Systemic Requirements of a Software Engineering Learning Environment,147--155,,9.0,"Differentiating requirements, Learning environment, Learning objectives, Software engineering education, Systemic requirements, Trade-offs",10.1145/2723742.2723757,,,,,,,2015.0,,Proceedings of the 8th India Software Engineering Conference,ISEC '15,,978-1-4503-3432-7,"Bangalore, India",ACM,"New York, NY, USA",software engineering usability education
158,312,article,379742,Tamara  Sumner and Melissa  Dawe,,,,Looking at Digital Library Usability from a Reuse Perspective,416--425,,10.0,"comprehension, digital libraries, educational resources, learning impact, location, modification, reuse, sharing",10.1145/379437.379742,,,,,,,2001.0,,Proceedings of the 1st ACM/IEEE-CS Joint Conference on Digital Libraries,JCDL '01,,1-58113-345-6,"Roanoke, Virginia, USA",ACM,"New York, NY, USA",software engineering usability education
160,314,article,1384332,J. &#193;ngel Vel&#225;zquez-Iturbide and Antonio  P&#233;rez-Carrasco and Jaime  Urquiza-Fuentes,,,,SRec: An Animation System of Recursion for Algorithm Courses,225--229,,5.0,"activation trees, program animation, recursion, usability",10.1145/1597849.1384332,SIGCSE Bull.,September 2008,40,3.0,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering usability education
162,317,article,1244192,Taciana A. Vanderlei and Frederico A. Dur&#227;o and Alexandre C. Martins and Vinicius C. Garcia and Eduardo S. Almeida and Silvio R. de L. Meira,,,,A Cooperative Classification Mechanism for Search and Retrieval Software Components,866--871,,6.0,"cooperative classification, folksonomy, search engine, usability",10.1145/1244002.1244192,,,,,,,2007.0,,Proceedings of the 2007 ACM Symposium on Applied Computing,SAC '07,,1-59593-480-4,"Seoul, Korea",ACM,"New York, NY, USA",software engineering usability education
163,318,article,1868928,Anders  Bruun,,,,Training Software Developers in Usability Engineering: A Literature Review,82--91,,10.0,"developers, literature review, training, usability engineering",10.1145/1868914.1868928,,,,,,,2010.0,,Proceedings of the 6th Nordic Conference on Human-Computer Interaction: Extending Boundaries,NordiCHI '10,,978-1-60558-934-3,"Reykjavik, Iceland",ACM,"New York, NY, USA",software engineering usability education
164,319,article,3136027,Ankica  Bari&#353;i&#263; and Dominique  Blouin and Vasco  Amaral and Miguel  Goul&#227;o,,,,A Requirements Engineering Approach for Usability-driven DSL Development,115--128,,14.0,"Domain-Specific language, Requirements engineering, Usability evaluation",10.1145/3136014.3136027,,,,,,,2017.0,,Proceedings of the 10th ACM SIGPLAN International Conference on Software Language Engineering,SLE 2017,,978-1-4503-5525-4,"Vancouver, BC, Canada",ACM,"New York, NY, USA",software engineering usability education
170,327,article,1368201,Birgit R. Krogstie,,,,Power Through Brokering: Open Source Community Participation in Software Engineering Student Projects,791--800,,10.0,"communities of practice, computer science education, floss, open source, software engineering, software engineering education",10.1145/1368088.1368201,,,,,,,2008.0,,Proceedings of the 30th International Conference on Software Engineering,ICSE '08,,978-1-60558-079-1,"Leipzig, Germany",ACM,"New York, NY, USA",software engineering usability education
172,335,article,2663578,Christin  Lindholm and Martin  H&#246;st,,,,Introducing Usability Testing in the Risk Management Process in Software Development,5--11,,7.0,"case study, risk management, software, usability, usability testing",,,,,,,,2013.0,,Proceedings of the 5th International Workshop on Software Engineering in Health Care,SEHC '13,,978-1-4673-6282-5,"San Francisco, California",IEEE Press,"Piscataway, NJ, USA",software engineering usability education
174,338,article,1463164,Jakob Otkj&#230;r Bak and Kim  Nguyen and Peter  Risgaard and Jan  Stage,,,,Obstacles to Usability Evaluation in Practice: A Survey of Software Development Organizations,23--32,,10.0,"obstacles, software development, usability evaluation",10.1145/1463160.1463164,,,,,,,2008.0,,Proceedings of the 5th Nordic Conference on Human-computer Interaction: Building Bridges,NordiCHI '08,,978-1-59593-704-9,"Lund, Sweden",ACM,"New York, NY, USA",software engineering usability education
175,339,article,971463,Michael  Buckley and Helene  Kershner and Kris  Schindler and Carl  Alphonce and Jennifer  Braswell,,,,Benefits of Using Socially-relevant Projects in Computer Science and Engineering Education,482--486,,5.0,"socially-relevant projects, software engineering",10.1145/1028174.971463,SIGCSE Bull.,March 2004,36,1.0,,March,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering usability education
177,341,article,2732156,Maria  Vasilevskaya and David  Broman and Kristian  Sandahl,,,,"Assessing Large-Project Courses: Model, Activities, and Lessons Learned",20:1--20:30,20.0,30.0,"Project courses, assessment, software engineering",10.1145/2732156,Trans. Comput. Educ.,December 2015,15,4.0,,December,2015.0,1946-6226,,,,,,ACM,"New York, NY, USA",software engineering usability education
178,344,article,1734441,Archana  Chidanandan and Lori  Russell-Dag and Cary  Laxer and Reyyan  Ayfer,,,,In Their Words: Student Feedback on an International Project Collaboration,534--538,,5.0,"international collaboration, software engineering, teamwork",10.1145/1734263.1734441,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",software engineering usability education
179,346,article,1287691,Manzil e  Maqsood and Talha  Javed,,,,Practicum in Software Project Management: An Endeavor to Effective and Pragmatic Software Project Management Education,471--480,,10.0,"assessment, education, maturity model, software engineering, software project management, training",10.1145/1287624.1287691,,,,,,,2007.0,,Proceedings of the the 6th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering,ESEC-FSE '07,,978-1-59593-811-4,"Dubrovnik, Croatia",ACM,"New York, NY, USA",software engineering usability education
182,349,article,1121817,Masaki  Yamamoto and Hiroyuki  Tomiyama and Hiroaki  Takada and Kiyoshi  Agusa and Kenji  Mase and Nobuo  Kawaguchi and Shinya  Honda and Nobuyuki  Kaneko,,,,NEXCESS: Nagoya University Extension Courses for Embedded Software Specialists,20--24,,5.0,"education, embedded, software",10.1145/1121812.1121817,SIGBED Rev.,October 2005,2,4.0,,October,2005.0,1551-3688,,,,,,ACM,"New York, NY, USA",software engineering usability education
183,351,article,2884798,Michael  Coblenz and Joshua  Sunshine and Jonathan  Aldrich and Brad  Myers and Sam  Weber and Forrest  Shull,,,,Exploring Language Support for Immutability,736--747,,12.0,"empirical studies of programmers, immutability, mutability, programmer productivity, programming language design, programming language usability",10.1145/2884781.2884798,,,,,,,2016.0,,Proceedings of the 38th International Conference on Software Engineering,ICSE '16,,978-1-4503-3900-1,"Austin, Texas",ACM,"New York, NY, USA",software engineering usability education
184,352,article,2089166,Thomas D. LaToza and Brad A. Myers,,,,Designing Useful Tools for Developers,45--50,,6.0,"design process, empirical software engineering, program comprehension",10.1145/2089155.2089166,,,,,,,2011.0,,Proceedings of the 3rd ACM SIGPLAN Workshop on Evaluation and Usability of Programming Languages and Tools,PLATEAU '11,,978-1-4503-1024-6,"Portland, Oregon, USA",ACM,"New York, NY, USA",software engineering usability education
185,355,article,3102317,Yousef-Awwad  Daraghmi and Motaz  Daadoo and Derar  Eleyan,,,,User Centered Method for Enhancing the Adoption of Software Systems in Palestine,13:1--13:11,13.0,11.0,"Participatory Design, Rapid Application Development, Software methods, Usability engineering",10.1145/3102304.3102317,,,,,,,2017.0,,Proceedings of the International Conference on Future Networks and Distributed Systems,ICFNDS '17,,978-1-4503-4844-7,"Cambridge, United Kingdom",ACM,"New York, NY, USA",software engineering usability education
186,357,article,2362545,Jihyun  Lee and Sungwon  Kang and Danhyung  Lee,,,,A Survey on Software Product Line Testing,31--40,,10.0,"software product line engineering, software product line testing, software testing",10.1145/2362536.2362545,,,,,,,2012.0,,Proceedings of the 16th International Software Product Line Conference - Volume 1,SPLC '12,,978-1-4503-1094-9,"Salvador, Brazil",ACM,"New York, NY, USA",software engineering usability education
188,363,article,2961834,Jackson Feij&#243; Filho and Wilson  Prata and Juan  Oliveira,,,,"Affective-ready, Contextual and Automated Usability Test for Mobile Software",638--644,,7.0,"affective computing, mobile software, usability",10.1145/2957265.2961834,,,,,,,2016.0,,Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MobileHCI '16,,978-1-4503-4413-5,"Florence, Italy",ACM,"New York, NY, USA",software engineering usability education
195,371,article,2819047,Thomas V. Wilkins and John C. Georgas,,,,Drawing Insight from Student Perceptions of Reflective Design Learning,253--262,,10.0,"design learning, reflection, software design, software engineering education, structured reflection",,,,,,,,2015.0,,Proceedings of the 37th International Conference on Software Engineering - Volume 2,ICSE '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA",software engineering usability education
196,373,article,948833,Michael E. Battig,,,,Observations from a Multi-platform Approach to User Interface Design Pedagogy,347--357,,11.0,"PDA, ergonomics, laboratory course, software engineering, usability, user interface design",,J. Comput. Sci. Coll.,December 2003,19,2.0,,December,2003.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,software engineering usability education
197,375,article,3101391,Sarah  Beecham and Tony  Clear and John  Noll,,,,Do We Teach the Right Thing?: A Comparison of Global Software Engineering Education and Practice,11--20,,10.0,"GSE, SMEs, empirical software engineering, global software engineering, small to middle sized enterprises, software engineer, software engineering education",10.1109/ICGSE.2017.8,,,,,,,2017.0,,Proceedings of the 12th International Conference on Global Software Engineering,ICGSE '17,,978-1-5386-1587-4,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering usability education
198,376,article,2814147,"Isaque Elcio de Souza and Paulo Henrique Lima Oliveira and Esdras Lins Bispo,Junior and Ana Carolina Gondim Inocencio and Paulo Afonso Parreira,Junior",,,,TESE - An Information System for Management of Experimental Software Engineering Projects,75:563--75:570,75.0,8.0,"Computational Tool, Experimental Software Engineering, Software Engineering",,,,,,,,2015.0,,Proceedings of the Annual Conference on Brazilian Symposium on Information Systems: Information Systems: A Computer Socio-Technical Perspective - Volume 1,SBSI 2015,,,"Goiania, Goias, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",software engineering usability education
199,377,article,1463163,Richard  Atterer,,,,Model-based Automatic Usability Validation: A Tool Concept for Improving Web-based UIs,13--22,,10.0,"accessibility, automated validation, usability model, web engineering, web usability",10.1145/1463160.1463163,,,,,,,2008.0,,Proceedings of the 5th Nordic Conference on Human-computer Interaction: Building Bridges,NordiCHI '08,,978-1-59593-704-9,"Lund, Sweden",ACM,"New York, NY, USA",software engineering usability education
200,378,article,1384290,Marcelo  Jenkins,,,,Teaching Computer Aided Software Engineering at the Graduate Level,63--67,,5.0,"computer aided software engineering (case), computer science education, software engineering education",10.1145/1597849.1384290,SIGCSE Bull.,September 2008,40,3.0,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering usability education
202,381,article,1508981,Emily  Navarro and Andr&#233;  van der Hoek,,,,Multi-site Evaluation of SimSE,326--330,,5.0,"educational evaluation, educational games, educational technology, instructional evaluation, instructional technology, simulation, software engineering education",10.1145/1539024.1508981,SIGCSE Bull.,March 2009,41,1.0,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering usability education
204,383,article,1121468,Anna  Eckerdal and Robert  McCartney and Jan Erik Mostr&#246;m and Mark  Ratcliffe and Carol  Zander,,,,Can Graduating Students Design Software Systems?,403--407,,5.0,"design, software engineering, student performance",10.1145/1124706.1121468,SIGCSE Bull.,March 2006,38,1.0,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering usability education
206,386,article,2501610,Cristian  Bravo-Lillo and Saranga  Komanduri and Lorrie Faith Cranor and Robert W. Reeder and Manya  Sleeper and Julie  Downs and Stuart  Schechter,,,,Your Attention Please: Designing Security-decision UIs to Make Genuine Risks Harder to Ignore,6:1--6:12,6.0,12.0,"attractors, dialogs, habituation, methodologies, usable security, warnings",10.1145/2501604.2501610,,,,,,,2013.0,,Proceedings of the Ninth Symposium on Usable Privacy and Security,SOUPS '13,,978-1-4503-2319-2,"Newcastle, United Kingdom",ACM,"New York, NY, USA",software engineering usability education
207,388,article,2670467,K&#225;thia Mar&#231;al de Oliveira and Sophie  Lepreux and Christophe  Kolski and Ahmed  Seffah,,,,Predictive Usability Evaluation: Aligning HCI and Software Engineering Practices,177--182,,6.0,"evaluation, measures, usability",10.1145/2670444.2670467,,,,,,,2014.0,,Proceedings of the 26th Conference on L'Interaction Homme-Machine,IHM '14,,978-1-4503-2935-4,"Villeneuve d'Ascq, France",ACM,"New York, NY, USA",software engineering usability education
0,0,article,275770,CORPORATE  Office of the Vice Provost for Information Technology,,,,University Administrative Policy Number 60,511--518,,8.0,,,,,,,,,,,Internet Besieged,,,0-201-30820-7,,ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA",information technology education theory
1,1,article,958584,  Office of Technology Assessment,,,,Information Technology and Its Impact on American Eduction,7--13,,7.0,,10.1145/958581.958584,SIGCAS Comput. Soc.,Summer 1982,12,3,,July,1982.0,0095-2737,,,,,,ACM,"New York, NY, USA",information technology education theory
2,3,article,957900,  Office of Technology Assessment,,,,"Study on Information Technology, Automation, and the Workplace",35--40,,6.0,,10.1145/957893.957900,SIGCAS Comput. Soc.,Winter 1982,12,1,,January,1982.0,0095-2737,,,,,,ACM,"New York, NY, USA",information technology education theory
3,7,article,820188,Wendy  Cukier and Denise  Shortt and Irene  Devine,,,,Gender and Information Technology: Implications of Definitions,142--148,,7.0,"gender, human resources, information technology, institutional theory",10.1145/820127.820188,SIGCSE Bull.,December 2002,34,4,,December,2002.0,0097-8418,,,,,,ACM,"New York, NY, USA",information technology education theory
4,8,article,2369238,Laura  Hosman and Maja  Cvetanoska,,,,"Technology, Teachers, and Training: Combining Theory with Macedonia's Experience",20:1--20:10,20.0,10.0,"Macedonia, computer aided instruction, developing nations, development, education, educational technology, social factors, technology",10.1145/2369220.2369238,,,,,,,2010.0,,Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development,ICTD '10,,978-1-4503-0787-1,"London, United Kingdom",ACM,"New York, NY, USA",information technology education theory
5,9,article,1029596,Han  Reichgelt,,,,Towards a Research Agenda for Information Technology,248--254,,7.0,"information technology, research agenda",10.1145/1029533.1029596,,,,,,,2004.0,,Proceedings of the 5th Conference on Information Technology Education,CITC5 '04,,1-58113-936-5,"Salt Lake City, UT, USA",ACM,"New York, NY, USA",information technology education theory
6,11,article,77482,CORPORATE  Computer Science and Technology Board,,,,Scaling Up: A Research Agenda for Software Engineering,281--293,,13.0,,10.1145/77481.77482,Commun. ACM,March 1990,33,3,,March,1990.0,0001-0782,,,,,,ACM,"New York, NY, USA",information technology education theory
7,14,article,2047657,Chia-Chi  Teng and Joseph J. Ekstrom,,,,A Health IT Application Domain Course for a Traditional IT Program,239--244,,6.0,"health, information technology education",10.1145/2047594.2047657,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology education theory
8,17,article,1095726,Soleda T. Leung and Christopher  Johnson,,,,Computational Concepts in IT: A New Approach to IT Mathematics,37--42,,6.0,"algorithm, algorithm design, application, approximation, curriculum design, graph theory, information technology, mathematics, number theory",10.1145/1095714.1095726,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology education theory
9,21,article,2699432,Rahul  Jain,,,,New Strong Direct Product Results in Communication Complexity,20:1--20:27,20.0,27.0,"Communication complexity, information theory, strong direct product",10.1145/2699432,J. ACM,June 2015,62,3,,June,2015.0,0004-5411,,,,,,ACM,"New York, NY, USA",information technology education theory
10,22,article,1328097,Malathi  Subramanian,,,,Theory and Practice of e-Governance in India: A Gender Perspective,187--195,,9.0,"citizenship, empowerment, gender, information communication technology, information society, participation",10.1145/1328057.1328097,,,,,,,2007.0,,Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance,ICEGOV '07,,978-1-59593-822-0,"Macao, China",ACM,"New York, NY, USA",information technology education theory
11,24,article,2808032,Russell  McMahon,,,,The Challenges of Information and Communications Technology Education in Sub-Saharan Africa,89--94,,6.0,"information and communications technology education, information technology education, teaching challenges",10.1145/2808006.2808032,,,,,,,2015.0,,Proceedings of the 16th Annual Conference on Information Technology Education,SIGITE '15,,978-1-4503-3835-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",information technology education theory
12,26,article,1324351,Raheel A. Malik and Raymond A. Hansen and James E. Goldman and Anthony H. Smith,,,,Laboratory Modules for Conducting Comparative Analysis of 802.11 Frames,225--232,,8.0,"information technology education, wireless networking education",10.1145/1324302.1324351,,,,,,,2007.0,,Proceedings of the 8th ACM SIGITE Conference on Information Technology Education,SIGITE '07,,978-1-59593-920-3,"Destin, Florida, USA",ACM,"New York, NY, USA",information technology education theory
13,30,article,2656453,Sathish Alampalayam Kumar,,,,Designing a Graduate Program in Information Security and Analytics: Masters Program in Information Security and Analytics (MISA),141--146,,6.0,"analytics, cybersecurity, information technology education",10.1145/2656450.2656453,,,,,,,2014.0,,Proceedings of the 15th Annual Conference on Information Technology Education,SIGITE '14,,978-1-4503-2686-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",information technology education theory
15,35,article,3083679,Colin  Dodds and Ahmed  Kharrufa and Anne  Preston and Catherine  Preston and Patrick  Olivier,,,,Remix Portal: Connecting Classrooms with Local Music Communities,203--212,,10.0,"Music, activity theory, education, music production, remixing",10.1145/3083671.3083679,,,,,,,2017.0,,Proceedings of the 8th International Conference on Communities and Technologies,C&T '17,,978-1-4503-4854-6,"Troyes, France",ACM,"New York, NY, USA",information technology education theory
16,36,article,2037316,Alessandro  Pollini and Leonardo  Giusti and Linda  Napoletano,,,,Emerging Informal Learning 2.0 Practices: A Preliminary Exploration,71--75,,5.0,"computer science education, curriculum, informal learning, information systems education, technology-enhanced learning, web 2.0",10.1145/2037296.2037316,,,,,,,2011.0,,Proceedings of the 9th ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction: Facing Complexity,CHItaly,,978-1-4503-0876-2,"Alghero, Italy",ACM,"New York, NY, USA",information technology education theory
17,38,article,1168845,C. Richard G. Helps,,,,Instructional Design Theory Provides Insights into Evolving Information Technology Technical Curricula,129--134,,6.0,"Moore's law, UML, curriculum design, instructional design theory, learning theory, technology evolution",10.1145/1168812.1168845,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
18,40,article,1125202,Lynette  Kvasny and Fay Cobb Payton and Jing  Chong and Victor  Mbarika,,,,Information Technology Education and Employment for Women in Kenya,114--119,,6.0,"education, gender, information technology workforce",10.1145/1125170.1125202,,,,,,,2006.0,,"Proceedings of the 2006 ACM SIGMIS CPR Conference on Computer Personnel Research: Forty Four Years of Computer Personnel Research: Achievements, Challenges &Amp; the Future",SIGMIS CPR '06,,1-59593-349-2,"Claremont, California, USA",ACM,"New York, NY, USA",information technology education theory
19,41,article,1414580,Lei  He and Ashraf  Saad and Joy  Reed and Patrick  Hannigan and Ed  Strauser,,,,Information Technology Education for K-12 Students and Teachers: From Sensor Network to Comprehensive and Customized Web Interaction,65--70,,6.0,"information system, information technology education, sensor network",10.1145/1414558.1414580,,,,,,,2008.0,,Proceedings of the 9th ACM SIGITE Conference on Information Technology Education,SIGITE '08,,978-1-60558-329-7,"Cincinnati, OH, USA",ACM,"New York, NY, USA",information technology education theory
20,45,article,1812534,David  Hollow and Paola  Masperi,,,,An Evaluation of the Use of ICT Within Primary Education in Malawi,27--34,,8.0,"Malawi, education, evaluation, technology",,,,,,,,2009.0,,Proceedings of the 3rd International Conference on Information and Communication Technologies and Development,ICTD'09,,978-1-4244-4662-9,"Doha, Qatar",IEEE Press,"Piscataway, NJ, USA",information technology education theory
21,48,article,1631797,Manimegalai M. Subramaniam,,,,Emergence of Information Technology Skill Standards: The Case of NWCET Initiative,215--220,,6.0,"curricula guidelines, emergence of computing degree programs, information technology curricula, information technology education, nwcet, sigite, skill standards",10.1145/1631728.1631797,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology education theory
22,51,article,222043,Philip  Bell and Elizabeth A. Davis and Marcia C. Linn,,,,The Knowledge Integration Environment: Theory and Design,14--21,,8.0,"K-12 educational technology, collaborative learning environments, computer learning environments, internet, networking, science education, scientific evidence",10.3115/222020.222043,,,,,,,1995.0,,The First International Conference on Computer Support for Collaborative Learning,CSCL '95,,0-8058-2243-7,"Indiana Univ., Bloomington, Indiana, USA",L. Erlbaum Associates Inc.,"Hillsdale, NJ, USA",information technology education theory
23,52,article,2047630,Dale C. Rowe and Barry M. Lunt and Richard G. Helps,,,,An Assessment Framework for Identifying Information Technology Programs,123--128,,6.0,"information technology, model curriculum",10.1145/2047594.2047630,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology education theory
24,54,article,1095750,Jack P. Krichen,,,,Dynamically Adjusting to Learner's Competencies and Styles in an Online Technology Course,149--154,,6.0,"SCORM, education, learning style",10.1145/1095714.1095750,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology education theory
25,55,article,337291,Dickie  Selfe and Dawn  Hayden,,,,A Review and Applications of Information Ecologies,91--102,,12.0,"articulation theory, education, participatory design, technical communication, user-centered design",10.1145/337271.337291,ACM J. Comput. Doc.,May 2000,24,2,,May,2000.0,1527-6805,,,,,,ACM,"New York, NY, USA",information technology education theory
26,56,article,1168827,Fred  Gutierrez,,,,Stingray: A Hands-on Approach to Learning Information Security,53--58,,6.0,"IT education, information security education",10.1145/1168812.1168827,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
27,57,article,947168,Paul D. Coverstone,,,,It Training Assessment and Evaluation: A Case Study,206--215,,10.0,"ROI, assessment, evaluation, information, reengineering, technology, training",10.1145/947121.947168,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",information technology education theory
28,60,article,1168831,Edward J. Sobiesk and Jean R.S. Blair and James D. Cook and John C. Giordano and Bryan S. Goda and Charles W. Reynolds,,,,Designing an Interdisciplinary Information Technology Program,71--76,,6.0,"information technology curriculum, interdisciplinary",10.1145/1168812.1168831,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
29,61,article,2808605,Francisco J. Garc&#237;a-Pe&#241;alvo and Fara&#243;n  Llorens-Largo,,,,Design of an Innovative Approach Based on Service Learning for Information Technology Governance Teaching,159--164,,6.0,"engineering education, information technology government, service learning",10.1145/2808580.2808605,,,,,,,2015.0,,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '15,,978-1-4503-3442-6,"Porto, Portugal",ACM,"New York, NY, USA",information technology education theory
30,62,article,1867653,Joseph J. Ekstrom and Barry M. Lunt,,,,Academic IT and Adjacent Disciplines 2010,1--8,,8.0,information technology research,10.1145/1867651.1867653,,,,,,,2010.0,,Proceedings of the 2010 ACM Conference on Information Technology Education,SIGITE '10,,978-1-4503-0343-9,"Midland, Michigan, USA",ACM,"New York, NY, USA",information technology education theory
31,63,article,1774298,Ken  Kaneiwa,,,,A Rough Set Approach to Mining Connections from Information Systems,990--996,,7.0,"causality, change and connection mining, rough set theory",10.1145/1774088.1774298,,,,,,,2010.0,,Proceedings of the 2010 ACM Symposium on Applied Computing,SAC '10,,978-1-60558-639-7,"Sierre, Switzerland",ACM,"New York, NY, USA",information technology education theory
