,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
22,article,1565811,W. Richards Adrion and Renee  Fall,,,,Broadening Participation: A Community College Strategy,46--51,,6.0,"broadening participation in computing, community colleges, information technology education and workforce",10.1145/1565799.1565811,,,,,,,2009.0,,"The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations",TAPIA '09,,978-1-60558-217-7,"Portland, Oregon",ACM,"New York, NY, USA",information technology education strategies
23,article,3027444,Cecilia  Aguerrebere and Crist&#243;bal  Cobo and Marcela  Gomez and Mat&#237;as  Mateu,,,,Strategies for Data and Learning Analytics Informed National Education Policies: The Case of Uruguay,449--453,,5.0,"big data, education policies, plan ceibal, technology enhanced learning",10.1145/3027385.3027444,,,,,,,2017.0,,Proceedings of the Seventh International Learning Analytics &#38; Knowledge Conference,LAK '17,,978-1-4503-4870-6,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",information technology education strategies
24,article,2677875,Mohammad Ubaidullah Bokhari and Sadaf  Ahmad,,,,Multi-Agent Based E-Learning Systems: A Comparative Study,20:1--20:6,20.0,6.0,"Agent Technology, E-learning, Education, Multi-agent system",10.1145/2677855.2677875,,,,,,,2014.0,,Proceedings of the 2014 International Conference on Information and Communication Technology for Competitive Strategies,ICTCS '14,,978-1-4503-3216-3,"Udaipur, Rajasthan, India",ACM,"New York, NY, USA",information technology education strategies
25,article,2536607,Ana  Garc&#237;a-Valc&#225;rcel and Ver&#243;nica  Basilotta,,,,How Elementary School Students Evaluate the Learning Strategy of Collaborative Projects Using ICT,461--466,,6.0,"collaborative learning, evaluating education, teaching using ICT, technology for learning",10.1145/2536536.2536607,,,,,,,2013.0,,Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality,TEEM '13,,978-1-4503-2345-1,"Salamanca, Spain",ACM,"New York, NY, USA",information technology education strategies
27,article,1414563,Steven  Rigby and Melissa J. Dark and J.  Ekstrom and Marcus  Rogers,,,,Measuring Conceptual Understanding: A Case Study,11--16,,6.0,ias education,10.1145/1414558.1414563,,,,,,,2008.0,,Proceedings of the 9th ACM SIGITE Conference on Information Technology Education,SIGITE '08,,978-1-60558-329-7,"Cincinnati, OH, USA",ACM,"New York, NY, USA",information technology education strategies
29,article,1140187,Stefan A. Robila and James W. Ragucci,,,,Don'T Be a Phish: Steps in User Education,237--241,,5.0,"computer education, education, information security, phishing",10.1145/1140124.1140187,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",information technology education strategies
33,article,2978238,Karen H. Jin and Kathleen  Haynie and Gavin  Kearns,,,,Teaching Elementary Students Programming in a Physical Computing Classroom,85--90,,6.0,"k-12, physical computing, teaching strategies",10.1145/2978192.2978238,,,,,,,2016.0,,Proceedings of the 17th Annual Conference on Information Technology Education,SIGITE '16,,978-1-4503-4452-4,"Boston, Massachusetts, USA",ACM,"New York, NY, USA",information technology education strategies
35,article,1227475,Lisa  Lancor and Robert  Workman,,,,Using Google Hacking to Enhance Defense Strategies,491--495,,5.0,"Google hacking, education, hacking, information assurance, information security, web security",10.1145/1227310.1227475,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",information technology education strategies
38,article,1631801,Steven  Rigby and Melissa J. Dark and Joseph J. Ekstrom and Marcus  Rogers,,,,The Efficacy of Cross-discipline Representations for Ill-defined Concepts,229--234,,6.0,ias education,10.1145/1631728.1631801,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology education strategies
40,article,1631753,Ye Diana Wang and Nima  Zahadat,,,,Teaching Web Development in the Web 2.0 Era,80--86,,7.0,"ajax, information technology education, pedagogy, web 2.0, web development",10.1145/1631728.1631753,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology education strategies
43,article,1734273,W. Richards Adrion and Renee  Fall and Manuel  Matos and Alan R. Peterfreund,,,,Integrating Evaluation into Program Development: Benefits of Baselining a NSF-BPC Alliance,27--31,,5.0,"broadening participation, community colleges, information technology education and workforce",10.1145/1734263.1734273,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",information technology education strategies
44,article,2047642,Edward P. Holden and Jai W. Kang and Geoffrey R. Anderson and Dianne P. Bills,,,,Databases in the Cloud: A Status Report,171--176,,6.0,"cloud computing, curriculum, curriculum delivery options, information technology education",10.1145/2047594.2047642,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology education strategies
53,article,1862233,Kathryn  Egea and Soon-Kyeong  Kim and Trish  Andrews and Karin  Behrens,,,,Approaches Used by Cross-cultural and Cross-discipline Students in Teamwork for a First-year Course in Web Design,87--96,,10.0,"cross-cultural and cross-discipline team work, information technology education",,,,,,,,2010.0,,Proceedings of the Twelfth Australasian Conference on Computing Education - Volume 103,ACE '10,,978-1-920682-84-2,"Brisbane, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",information technology education strategies
54,article,1324331,SeungEun  Cha and DaiYoung  Kwon and WonGyu  Lee,,,,Using Puzzles: Problem-solving and Abstraction,135--140,,6.0,"abstraction, generalization, novice, problem-solving, programming, puzzle, teaching/learning strategy",10.1145/1324302.1324331,,,,,,,2007.0,,Proceedings of the 8th ACM SIGITE Conference on Information Technology Education,SIGITE '07,,978-1-59593-920-3,"Destin, Florida, USA",ACM,"New York, NY, USA",information technology education strategies
55,article,298760,Michael H. Zack,,,,An MIS Course Integrating Information Technology and Organizational Issues,73--87,,15.0,"educational simulation, information systems curriculum, information systems education, information systems integration, information systems training",10.1145/298752.298760,SIGMIS Database,Spring 1998,29,2,,April,1998.0,0095-0033,,,,,,ACM,"New York, NY, USA",information technology education strategies
57,article,1899519,Melisa  Koorsse and Charmain B. Cilliers and Andr&#233; P. Calitz,,,,Motivation and Learning Preferences of Information Technology Learners in South African Secondary Schools,144--152,,9.0,"VARK questionnaire, information technology, introductory programming, motivated strategies for learning questionnaire (MSLQ)",10.1145/1899503.1899519,,,,,,,2010.0,,Proceedings of the 2010 Annual Research Conference of the South African Institute of Computer Scientists and Information Technologists,SAICSIT '10,,978-1-60558-950-3,"Bela Bela, South Africa",ACM,"New York, NY, USA",information technology education strategies
59,article,2369242,Olga  Morawczynski and David  Hutchful and Edward  Cutrell and Nimmi  Rangaswamy,,,,The Bank Account is Not Enough: Examining Strategies for Financial Inclusion in India,24:1--24:11,24.0,11.0,"India, financial education, financial inclusion",10.1145/2369220.2369242,,,,,,,2010.0,,Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development,ICTD '10,,978-1-4503-0787-1,"London, United Kingdom",ACM,"New York, NY, USA",information technology education strategies
62,article,2380564,Malak T. Al-Nory and Diane A. Igoche,,,,Learning by Design: Making the Case for a Teaching Strategy to Teach Information Systems Courses,37--42,,6.0,"complex concepts, constructionism, information systems, learning by design",10.1145/2380552.2380564,,,,,,,2012.0,,Proceedings of the 13th Annual Conference on Information Technology Education,SIGITE '12,,978-1-4503-1464-0,"Calgary, Alberta, Canada",ACM,"New York, NY, USA",information technology education strategies
64,article,1414580,Lei  He and Ashraf  Saad and Joy  Reed and Patrick  Hannigan and Ed  Strauser,,,,Information Technology Education for K-12 Students and Teachers: From Sensor Network to Comprehensive and Customized Web Interaction,65--70,,6.0,"information system, information technology education, sensor network",10.1145/1414558.1414580,,,,,,,2008.0,,Proceedings of the 9th ACM SIGITE Conference on Information Technology Education,SIGITE '08,,978-1-60558-329-7,"Cincinnati, OH, USA",ACM,"New York, NY, USA",information technology education strategies
65,article,1812534,David  Hollow and Paola  Masperi,,,,An Evaluation of the Use of ICT Within Primary Education in Malawi,27--34,,8.0,"Malawi, education, evaluation, technology",,,,,,,,2009.0,,Proceedings of the 3rd International Conference on Information and Communication Technologies and Development,ICTD'09,,978-1-4244-4662-9,"Doha, Qatar",IEEE Press,"Piscataway, NJ, USA",information technology education strategies
66,article,1822375,Josh  Sheldon and Judy  Perry and Eric  Klopfer and Jennifer  Ong and Vivian Hsueh-Hua Chen and Pei Wen Tzuo and Louisa  Rosenheck,,,,Weatherlings: A New Approach to Student Learning Using Web-based Mobile Games,203--208,,6.0,"education, educational technology, games, mobile, ubiquitous, video games, weather",10.1145/1822348.1822375,,,,,,,2010.0,,Proceedings of the Fifth International Conference on the Foundations of Digital Games,FDG '10,,978-1-60558-937-4,"Monterey, California",ACM,"New York, NY, USA",information technology education strategies
72,article,1693061,Andr&#233;  Andrade,,,,The Strategic Planning and ICT in the Brazilian Justice,91--96,,6.0,"Brazil, information and communication technology, justice, strategies",10.1145/1693042.1693061,,,,,,,2009.0,,Proceedings of the 3rd International Conference on Theory and Practice of Electronic Governance,ICEGOV '09,,978-1-60558-663-2,"Bogota, Colombia",ACM,"New York, NY, USA",information technology education strategies
74,article,1867653,Joseph J. Ekstrom and Barry M. Lunt,,,,Academic IT and Adjacent Disciplines 2010,1--8,,8.0,information technology research,10.1145/1867651.1867653,,,,,,,2010.0,,Proceedings of the 2010 ACM Conference on Information Technology Education,SIGITE '10,,978-1-4503-0343-9,"Midland, Michigan, USA",ACM,"New York, NY, USA",information technology education strategies
75,article,1029596,Han  Reichgelt,,,,Towards a Research Agenda for Information Technology,248--254,,7.0,"information technology, research agenda",10.1145/1029533.1029596,,,,,,,2004.0,,Proceedings of the 5th Conference on Information Technology Education,CITC5 '04,,1-58113-936-5,"Salt Lake City, UT, USA",ACM,"New York, NY, USA",information technology education strategies
77,article,1168830,Susan L. Miertschin and Jeff  Sumrall and Dave  Wahlstr&#246;m and Bob  Seaker and Cheryl L. Willis,,,,Developing Information Technology Specializations in Growing IS Environment Areas,65--70,,6.0,information systems environment,10.1145/1168812.1168830,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education strategies
80,article,1409866,Jorge  P&#233;rez and Meg  Murray,,,,Computing for the Masses: Extending the Computer Science Curriculum with Information Technology Literacy,220--226,,7.0,"computer science education, curriculum, information literacy, information technology education",,J. Comput. Sci. Coll.,December 2008,24,2,,December,2008.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,information technology education strategies
84,article,947168,Paul D. Coverstone,,,,It Training Assessment and Evaluation: A Case Study,206--215,,10.0,"ROI, assessment, evaluation, information, reengineering, technology, training",10.1145/947121.947168,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",information technology education strategies
85,article,2047630,Dale C. Rowe and Barry M. Lunt and Richard G. Helps,,,,An Assessment Framework for Identifying Information Technology Programs,123--128,,6.0,"information technology, model curriculum",10.1145/2047594.2047630,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology education strategies
0,article,275770,CORPORATE  Office of the Vice Provost for Information Technology,,,,University Administrative Policy Number 60,511--518,,8.0,,,,,,,,,,,Internet Besieged,,,0-201-30820-7,,ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA",information technology accessibility education
1,article,958584,  Office of Technology Assessment,,,,Information Technology and Its Impact on American Eduction,7--13,,7.0,,10.1145/958581.958584,SIGCAS Comput. Soc.,Summer 1982,12,3,,July,1982.0,0095-2737,,,,,,ACM,"New York, NY, USA",information technology accessibility education
2,article,957900,  Office of Technology Assessment,,,,"Study on Information Technology, Automation, and the Workplace",35--40,,6.0,,10.1145/957893.957900,SIGCAS Comput. Soc.,Winter 1982,12,1,,January,1982.0,0095-2737,,,,,,ACM,"New York, NY, USA",information technology accessibility education
6,article,2994606,Brianna J. Tomlinson and Jared  Batterman and Yee Chieh Chew and Ashley  Henry and Bruce N. Walker,,,,Exploring Auditory Graphing Software in the Classroom: The Effect of Auditory Graphs on the Classroom Environment,3:1--3:27,3.0,27.0,"Auditory displays, educational technologies",10.1145/2994606,ACM Trans. Access. Comput.,November 2016,9,1,,November,2016.0,1936-7228,,,,,,ACM,"New York, NY, USA",information technology accessibility education
7,article,1324351,Raheel A. Malik and Raymond A. Hansen and James E. Goldman and Anthony H. Smith,,,,Laboratory Modules for Conducting Comparative Analysis of 802.11 Frames,225--232,,8.0,"information technology education, wireless networking education",10.1145/1324302.1324351,,,,,,,2007.0,,Proceedings of the 8th ACM SIGITE Conference on Information Technology Education,SIGITE '07,,978-1-59593-920-3,"Destin, Florida, USA",ACM,"New York, NY, USA",information technology accessibility education
10,article,1806009,Seniz  Demir and David  Oliver and Edward  Schwartz and Stephanie  Elzer and Sandra  Carberry and Kathleen F. McCoy,,,,Interactive SIGHT into Information Graphics,16:1--16:10,16.0,10.0,"accessibility, assistive technology, graph summarization",10.1145/1805986.1806009,,,,,,,2010.0,,Proceedings of the 2010 International Cross Disciplinary Conference on Web Accessibility (W4A),W4A '10,,978-1-4503-0045-2,"Raleigh, North Carolina",ACM,"New York, NY, USA",information technology accessibility education
12,article,2380560,Rex Perez Bringula,,,,Influence of Proximity to and Accessibility of School on School Choice of Information Technology Students,19--24,,6.0,"accessibility, distance, information technology education, proximity, school choice, travel time",10.1145/2380552.2380560,,,,,,,2012.0,,Proceedings of the 13th Annual Conference on Information Technology Education,SIGITE '12,,978-1-4503-1464-0,"Calgary, Alberta, Canada",ACM,"New York, NY, USA",information technology accessibility education
14,article,1631762,Christopher  Cole and Joseph J. Ekstrom and Richard  Helps,,,,Collecting IT Scholarship: The IT-thesis Project,127--132,,6.0,information technology research,10.1145/1631728.1631762,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology accessibility education
17,article,2381098,Sheryl  Burgstahler and Richard E. Ladner and Scott  Bellman,,,,Strategies for Increasing the Participation in Computing of Students with Disabilities,42--48,,7.0,"accessibility, assistive technology, disability, diversity, universal design",10.1145/2381083.2381098,ACM Inroads,December 2012,3,4,,December,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",information technology accessibility education
19,article,947518,Anand  Padmanabhan,,,,"The SNet Model: Access, Security and e-Services for Students",182--188,,7.0,"SNet, communication, eServices, email, higher education, information technology, model, wireless",10.1145/947469.947518,,,,,,,2003.0,,Proceedings of the 31st  Annual ACM SIGUCCS Fall Conference,SIGUCCS '03,,1-58113-665-X,"San Antonio, TX, USA",ACM,"New York, NY, USA",information technology accessibility education
20,article,2738025,Jasmine  Jones and Joyojeet  Pal,,,,Counteracting Dampeners: Understanding Technology-amplified Capabilities of People with Disabilities in Sierra Leone,6:1--6:10,6.0,10.0,"accessibility, africa, amplification, assistive technology, capability, disability, education, marginality, mobile",10.1145/2737856.2738025,,,,,,,2015.0,,Proceedings of the Seventh International Conference on Information and Communication Technologies and Development,ICTD '15,,978-1-4503-3163-0,"Singapore, Singapore",ACM,"New York, NY, USA",information technology accessibility education
23,article,2670751,Jaideep  Vaidya and David  Lorenzi and Basit  Shafiq and Soon  Chun and Nazia  Badar,,,,Teaching Privacy in an Interactive Fashion,7:1--7:7,7.0,7.0,"case study, privacy, technology education",10.1145/2670739.2670751,,,,,,,2014.0,,Proceedings of the 2014 Information Security Curriculum Development Conference,InfoSec '14,,978-1-4503-3049-7,"Kennesaw, Georgia",ACM,"New York, NY, USA",information technology accessibility education
25,article,1352280,Charlie  Wiseman and Ken  Wong and Tilman  Wolf and Sergey  Gorinsky,,,,Operational Experience with a Virtual Networking Laboratory,427--431,,5.0,"assessment, educational technology, virtual laboratory",10.1145/1352135.1352280,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",information technology accessibility education
26,article,1953323,Andreas M. Stefik and Christopher  Hundhausen and Derrick  Smith,,,,On the Design of an Educational Infrastructure for the Blind and Visually Impaired in Computer Science,571--576,,6.0,"accessibility, assistive technology, auditory debugging, visual impairments",10.1145/1953163.1953323,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",information technology accessibility education
29,article,2380568,Ye Diana Wang,,,,A Holistic and Pragmatic Approach to Teaching Web Accessibility in an Undergraduate Web Design Course,55--60,,6.0,"accessibility, pedagogy, people with disabilities, web accessibility education, web design",10.1145/2380552.2380568,,,,,,,2012.0,,Proceedings of the 13th Annual Conference on Information Technology Education,SIGITE '12,,978-1-4503-1464-0,"Calgary, Alberta, Canada",ACM,"New York, NY, USA",information technology accessibility education
30,article,2047657,Chia-Chi  Teng and Joseph J. Ekstrom,,,,A Health IT Application Domain Course for a Traditional IT Program,239--244,,6.0,"health, information technology education",10.1145/2047594.2047657,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology accessibility education
34,article,1872972,Gillian R. Hayes and Sen  Hirano and Gabriela  Marcu and Mohamad  Monibi and David H. Nguyen and Michael  Yeganyan,,,,Interactive Visual Supports for Children with Autism,663--680,,18.0,"Assistive technology, Autism, Capture and access, Education, Visual supports",10.1007/s00779-010-0294-8,Personal Ubiquitous Comput.,October   2010,14,7,,October,2010.0,1617-4909,,,,,,Springer-Verlag,"London, UK, UK",information technology accessibility education
38,article,1227501,Charles  Border,,,,"The Development and Deployment of a Multi-user, Remote Access Virtualization System for Networking, Security, and System Administration Classes",576--580,,5.0,"VMware, computer labs, information technology education, security, virtual machines",10.1145/1227310.1227501,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",information technology accessibility education
39,article,1167434,Daniela  Marghitu and Chris  Harmon and Kai  Chang,,,,Developing a Universally Accessible Web Portal for Traditional and Distance Learning Versions of a Computer Literacy Course: An Auburn University Case Study,288--293,,6.0,"accessible web design and development, assistive technology, distance education",10.1145/1167350.1167434,,,,,,,2005.0,,Proceedings of the 43rd Annual Southeast Regional Conference - Volume 1,ACM-SE 43,,1-59593-059-0,"Kennesaw, Georgia",ACM,"New York, NY, USA",information technology accessibility education
40,article,1324321,William D. Armitage and Alessio  Gaspar and Matthew  Rideout,,,,Remotely Accessible Sandboxed Environment with Application to a Laboratory Course in Networking,83--90,,8.0,"IT education, laboratories, networking",10.1145/1324302.1324321,,,,,,,2007.0,,Proceedings of the 8th ACM SIGITE Conference on Information Technology Education,SIGITE '07,,978-1-59593-920-3,"Destin, Florida, USA",ACM,"New York, NY, USA",information technology accessibility education
44,article,2808604,Francisco J. Garc&#237;a-Pe&#241;alvo and &#193;ngel Fidalgo Blanco and Mar&#237;a Luisa Sein-Echaluce,,,,Educational Innovation Management: A Case Study at the University of Salamanca,151--158,,8.0,"best practices, educational innovation, open access, repository",10.1145/2808580.2808604,,,,,,,2015.0,,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '15,,978-1-4503-3442-6,"Porto, Portugal",ACM,"New York, NY, USA",information technology accessibility education
45,article,1969293,Christopher  Bailey and Elaine  Pearson,,,,Development and Trial of an Educational Tool to Support the Accessibility Evaluation Process,2:1--2:10,2.0,10.0,"accessibility education, web accessibility evaluation, web accessibility guidelines",10.1145/1969289.1969293,,,,,,,2011.0,,Proceedings of the International Cross-Disciplinary Conference on Web Accessibility,W4A '11,,978-1-4503-0476-4,"Hyderabad, Andhra Pradesh, India",ACM,"New York, NY, USA",information technology accessibility education
46,article,1408764,Gregg C.  Vanderheiden,,,,"Ubiquitous Accessibility, Common Technology Core, and Micro Assistive Technology: Commentary on &Ldquo;Computers and People with Disabilities&Rdquo;",10:1--10:7,10.0,7.0,"Interfaces, micro-AT, ubiquitous accessibility",10.1145/1408760.1408764,ACM Trans. Access. Comput.,October 2008,1,2,,October,2008.0,1936-7228,,,,,,ACM,"New York, NY, USA",information technology accessibility education
48,article,1812570,A.  Chabossou and C.  Stork and M.  Stork and Z.  Zahonogo,,,,Mobile Telephony Access and Usage in Africa,392--405,,14.0,"developing nations, economics, information technology, mobile communication",,,,,,,,2009.0,,Proceedings of the 3rd International Conference on Information and Communication Technologies and Development,ICTD'09,,978-1-4244-4662-9,"Doha, Qatar",IEEE Press,"Piscataway, NJ, USA",information technology accessibility education
50,article,1655937,Rattiporn  Luanrattana and Khin Than Win,,,,The Deployment of PDA Accessible Clinical-log for Medical Education in PBL-approach,63--68,,6.0,"clinical-log, information technology, medical education, personal digital assistants, problem-based learning",10.1145/1655925.1655937,,,,,,,2009.0,,"Proceedings of the 2Nd International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS '09,,978-1-60558-710-3,"Seoul, Korea",ACM,"New York, NY, USA",information technology accessibility education
52,article,1812562,Farida  Khan and Rehana  Ghadially,,,,"Empowering Muslim Youth Through Computer Education, Access, Use: A Gender Analysis",310--319,,10.0,"access, computers/internet, empowerment, gender",,,,,,,,2009.0,,Proceedings of the 3rd International Conference on Information and Communication Technologies and Development,ICTD'09,,978-1-4244-4662-9,"Doha, Qatar",IEEE Press,"Piscataway, NJ, USA",information technology accessibility education
55,article,2184753,BeomSeok  Kim and Jinsung  Cho,,,,A Novel Priority-based Channel Access Algorithm for Contention-based MAC Protocol in WBANs,1:1--1:5,1.0,5.0,"CAP, MAC protocol, WBAN, channel access algorithm",10.1145/2184751.2184753,,,,,,,2012.0,,Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication,ICUIMC '12,,978-1-4503-1172-4,"Kuala Lumpur, Malaysia",ACM,"New York, NY, USA",information technology accessibility education
56,article,2037316,Alessandro  Pollini and Leonardo  Giusti and Linda  Napoletano,,,,Emerging Informal Learning 2.0 Practices: A Preliminary Exploration,71--75,,5.0,"computer science education, curriculum, informal learning, information systems education, technology-enhanced learning, web 2.0",10.1145/2037296.2037316,,,,,,,2011.0,,Proceedings of the 9th ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction: Facing Complexity,CHItaly,,978-1-4503-0876-2,"Alghero, Italy",ACM,"New York, NY, USA",information technology accessibility education
57,article,2184839,Heemoon  Chae and Jooik  Jung and Jong-Hyuk  Lee and Kyong-Ho  Lee,,,,An Efficient Access Control Based on Role Attributes in Service Oriented Environments,73:1--73:7,73.0,7.0,"XACML, access control, role attributes, web services",10.1145/2184751.2184839,,,,,,,2012.0,,Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication,ICUIMC '12,,978-1-4503-1172-4,"Kuala Lumpur, Malaysia",ACM,"New York, NY, USA",information technology accessibility education
58,article,2108692,Kyu Il Kim and Won Young Kim and Joon Suk Ryu and Hyuk Jin Ko and Ung Mo Kim and Woo Jun Kang,,,,RBAC-based Access Control for Privacy Preserving in Semantic Web,63:1--63:5,63.0,5.0,"RBAC, access control, privacy, semantic web",10.1145/2108616.2108692,,,,,,,2010.0,,Proceedings of the 4th International Conference on Uniquitous Information Management and Communication,ICUIMC '10,,978-1-60558-893-3,"Suwon, Republic of Korea",ACM,"New York, NY, USA",information technology accessibility education
59,article,2047459,Christopher  Woodward and Wasim A. Al-Hamdani,,,,PKI and Access Control in Office Environments,20--24,,5.0,"access control, cryptography, information assurance, information security",10.1145/2047456.2047459,,,,,,,2011.0,,Proceedings of the 2011 Information Security Curriculum Development Conference,InfoSecCD '11,,978-1-4503-0812-0,"Kennesaw, Georgia",ACM,"New York, NY, USA",information technology accessibility education
61,article,2223685,Eleni  Michailidou and Katerina  Mavrou and Panayiotis  Zaphiris,,,,Einclusion @ Cyprus Universities: Provision and Web Accessibility,1637--1642,,6.0,"evaluation, higher education, provision, web accessibility",10.1145/2212776.2223685,,,,,,,2012.0,,CHI '12 Extended Abstracts on Human Factors in Computing Systems,CHI EA '12,,978-1-4503-1016-1,"Austin, Texas, USA",ACM,"New York, NY, USA",information technology accessibility education
62,article,2047475,Behzad Joze Hashemian,,,,Analyzing Web Accessibility in Finnish Higher Education,8--16,,9.0,"Finnish education system, WCAG, disability, web accessibility",10.1145/2047473.2047475,SIGACCESS Access. Comput.,September 2011,,101,,September,2011.0,1558-2337,,,,,,ACM,"New York, NY, USA",information technology accessibility education
64,article,1095780,Lee J. Leitner and John W. Cane,,,,A Virtual Laboratory Environment for Online IT Education,283--289,,7.0,"computer network courses, curricula, information technology education, pedagogics, virtual laboratories",10.1145/1095714.1095780,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology accessibility education
65,article,2656453,Sathish Alampalayam Kumar,,,,Designing a Graduate Program in Information Security and Analytics: Masters Program in Information Security and Analytics (MISA),141--146,,6.0,"analytics, cybersecurity, information technology education",10.1145/2656450.2656453,,,,,,,2014.0,,Proceedings of the 15th Annual Conference on Information Technology Education,SIGITE '14,,978-1-4503-2686-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",information technology accessibility education
66,article,2661366,Catherine M. Baker and Lauren R. Milne and Jeffrey  Scofield and Cynthia L. Bennett and Richard E. Ladner,,,,Tactile Graphics with a Voice: Using QR Codes to Access Text in Tactile Graphics,75--82,,8.0,"access technology, blind, camera, non-visual feedback, qr codes., tactile graphics, visually impaired",10.1145/2661334.2661366,,,,,,,2014.0,,Proceedings of the 16th International ACM SIGACCESS Conference on Computers & Accessibility,ASSETS '14,,978-1-4503-2720-6,"Rochester, New York, USA",ACM,"New York, NY, USA",information technology accessibility education
67,article,2764916,Valerie S. Morash and Yue-Ting  Siu and Joshua A. Miele and Lucia  Hasty and Steven  Landau,,,,Guiding Novice Web Workers in Making Image Descriptions Using Templates,12:1--12:21,12.0,21.0,"Accessibility (blind and visually impaired), access technology, crowdsourcing, human computation, image description",10.1145/2764916,ACM Trans. Access. Comput.,November 2015,7,4,,November,2015.0,1936-7228,,,,,,ACM,"New York, NY, USA",information technology accessibility education
68,article,2369259,Amit  Saxena and Urvashi  Sahni and Rahul  Gupta and Anjana  Arora and Richard  Anderson and Natalie  Linnell,,,,Evaluating Facilitated Video Instruction for Primary Schools in Rural India,41:1--41:10,41.0,10.0,"developing regions, educational technology, evaluation, teaching",10.1145/2369220.2369259,,,,,,,2010.0,,Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development,ICTD '10,,978-1-4503-0787-1,"London, United Kingdom",ACM,"New York, NY, USA",information technology accessibility education
69,article,2660295,Yeongjin  Jang and Chengyu  Song and Simon P. Chung and Tielei  Wang and Wenke  Lee,,,,A11Y Attacks: Exploiting Accessibility in Operating Systems,103--115,,13.0,"accessibility, assistive technology, attacks",10.1145/2660267.2660295,,,,,,,2014.0,,Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,CCS '14,,978-1-4503-2957-6,"Scottsdale, Arizona, USA",ACM,"New York, NY, USA",information technology accessibility education
